A05,"Nhiễm độc thức ăn do vi khuẩn khác, không phân loại nơi khác",Mã,A05,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,"Nhiễm độc thức ăn do vi khuẩn khác, không phân loại nơi khác",0.0
A05.0,Nhiễm độc thức ăn do độc tố của tụ cầu,Mã nhánh,A05,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,"Nhiễm độc thức ăn do vi khuẩn khác, không phân loại nơi khác",0.0
A05.1,Ngộ độc thịt,Mã nhánh,A05,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,"Nhiễm độc thức ăn do vi khuẩn khác, không phân loại nơi khác",0.0
A05.2,Nhiễm độc thức ăn do độc tố của Clostridium perfringens [Clostridium welchii],Mã nhánh,A05,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,"Nhiễm độc thức ăn do vi khuẩn khác, không phân loại nơi khác",0.0
A05.3,Nhiễm độc thức ăn do độc tố của Vibrio parahaemolyticus,Mã nhánh,A05,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,"Nhiễm độc thức ăn do vi khuẩn khác, không phân loại nơi khác",0.0
A05.4,Nhiễm độc thức ăn do độc tố của Bacillus cereus,Mã nhánh,A05,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,"Nhiễm độc thức ăn do vi khuẩn khác, không phân loại nơi khác",0.0
A05.8,Nhiễm độc thức ăn do độc tố của vi khuẩn xác định khác,Mã nhánh,A05,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,"Nhiễm độc thức ăn do vi khuẩn khác, không phân loại nơi khác",0.0
A05.9,"Nhiễm độc thức ăn do vi khuẩn, không xác định",Mã nhánh,A05,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,"Nhiễm độc thức ăn do vi khuẩn khác, không phân loại nơi khác",0.0
A06,Bệnh do amip,Mã,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A06.0,Bệnh lỵ amip cấp,Mã nhánh,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A06.1,Bệnh lỵ amip đường ruột mạn tính,Mã nhánh,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A06.2,Viêm đại tràng do amip không gây hội chứng lỵ,Mã nhánh,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A06.3,U do amip đường ruột,Mã nhánh,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A06.4†,Áp xe gan do amip (K77.0*),Mã nhánh,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A06.5†,Áp xe phổi do amip,Mã nhánh,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A06.6†,Áp xe não do amip (G07*),Mã nhánh,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A06.7,Nhiễm amip ở da,Mã nhánh,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A06.8,Nhiễm amip ở vị trí khác,Mã nhánh,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A06.9,"Bệnh do amip, không xác định",Mã nhánh,A06,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do amip,0.0
A07,Bệnh đường ruột do đơn bào khác,Mã,A07,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh đường ruột do đơn bào khác,0.0
A07.0,Bệnh do Balantidium,Mã nhánh,A07,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh đường ruột do đơn bào khác,0.0
A07.1,Bệnh do Giardia [lamblia],Mã nhánh,A07,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh đường ruột do đơn bào khác,0.0
A07.2,Bệnh do Cryptosporidia,Mã nhánh,A07,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh đường ruột do đơn bào khác,0.0
A07.3,Bệnh do Isospora,Mã nhánh,A07,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh đường ruột do đơn bào khác,0.0
A07.8,Bệnh do đơn bào xác định khác,Mã nhánh,A07,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh đường ruột do đơn bào khác,0.0
A07.9,"Bệnh đường ruột do đơn bào, không xác định",Mã nhánh,A07,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Bệnh đường ruột do đơn bào khác,0.0
A08,Nhiễm trùng đường ruột do vi rút và tác nhân xác định khác,Mã,A08,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm trùng đường ruột do vi rút và tác nhân xác định khác,0.0
A08.0,Viêm ruột do vi rút Rota,Mã nhánh,A08,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm trùng đường ruột do vi rút và tác nhân xác định khác,0.0
A08.1,Bệnh lý dạ dày ruột cấp do tác nhân Norwalk,Mã nhánh,A08,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm trùng đường ruột do vi rút và tác nhân xác định khác,0.0
A08.2,Viêm ruột do vi rút Adeno,Mã nhánh,A08,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm trùng đường ruột do vi rút và tác nhân xác định khác,0.0
A08.3,Viêm ruột do vi rút khác,Mã nhánh,A08,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm trùng đường ruột do vi rút và tác nhân xác định khác,0.0
A08.4,"Nhiễm trùng đường ruột do vi rút, không xác định",Mã nhánh,A08,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm trùng đường ruột do vi rút và tác nhân xác định khác,0.0
A08.5,Nhiễm trùng đường ruột xác định khác,Mã nhánh,A08,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Nhiễm trùng đường ruột do vi rút và tác nhân xác định khác,0.0
A09,Viêm dạ dày- ruột khác và viêm đại tràng do nhiễm trùng và nguyên nhân không xác định,Mã,A09,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Viêm dạ dày- ruột khác và viêm đại tràng do nhiễm trùng và nguyên nhân không xác định,1.0
A09.0,Viêm dạ dày- ruột và viêm đại tràng do nhiễm trùng khác và không xác định,Mã nhánh,A09,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Viêm dạ dày- ruột khác và viêm đại tràng do nhiễm trùng và nguyên nhân không xác định,1.0
A09.9,Viêm dạ dày- ruột và viêm đại tràng khác không rõ nguyên nhân,Mã nhánh,A09,Bệnh nhiễm trùng đường ruột,Bệnh nhiễm trùng và ký sinh trùng,Viêm dạ dày- ruột khác và viêm đại tràng do nhiễm trùng và nguyên nhân không xác định,1.0
A15,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",Mã,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A15.0,"Lao phổi, khẳng định về soi đờm có cấy hoặc không cấy đờm",Mã nhánh,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A15.1,"Lao phổi, chỉ khẳng định bằng nuôi cấy",Mã nhánh,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A15.2,"Lao phổi, khẳng định về mô học",Mã nhánh,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A15.3,Lao phổi được khẳng định bằng những phương pháp không đặc hiệu,Mã nhánh,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A15.4,"Lao hạch lympho trong lồng ngực, khẳng định về vi khuẩn học và mô học",Mã nhánh,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A15.5,"Lao thanh quản, khí quản và phế quản, khẳng định về vi khuẩn học và mô học",Mã nhánh,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A15.6,"Lao màng phổi, khẳng định về vi khuẩn học và mô học",Mã nhánh,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A15.7,"Lao hô hấp sơ nhiễm, khẳng định về vi khuẩn học và mô học",Mã nhánh,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A15.8,"Lao hô hấp khác, khẳng định về vi khuẩn học và mô học",Mã nhánh,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A15.9,"Lao hô hấp không xác định, khẳng định về vi khuẩn học và mô học",Mã nhánh,A15,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao hô hấp, có khẳng định về vi khuẩn học và mô học",1.0
A16,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",Mã,A16,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",0.0
A16.0,"Lao phổi, âm tính về vi khuẩn học và mô học",Mã nhánh,A16,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",0.0
A16.1,"Lao phổi, không xét nghiệm vi khuẩn học và mô học",Mã nhánh,A16,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",0.0
A16.2,"Lao phổi, không đề cập đến việc khẳng định về vi khuẩn hoặc mô học",Mã nhánh,A16,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",0.0
A16.3,"Lao hạch lympho trong lồng ngực, không đề cập đến việc khẳng định về vi khuẩn học hoặc mô học",Mã nhánh,A16,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",0.0
A16.4,"Lao thanh quản, khí quản và phế quản, không đề cập đến việc khẳng định về vi khuẩn học hoặc mô học",Mã nhánh,A16,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",0.0
A16.5,"Lao màng phổi, không đề cập đến việc khẳng định về vi khuẩn học hoặc mô học",Mã nhánh,A16,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",0.0
A16.7,Lao hô hấp sơ nhiễm không đề cập đến khẳng định về vi khuẩn học hoặc mô học,Mã nhánh,A16,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",0.0
A16.8,"Lao hô hấp khác, không đề cập đến việc khẳng định về vi khuẩn học hoặc mô học",Mã nhánh,A16,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",0.0
A16.9,"Lao hô hấp không xác định, không đề cập đến việc khẳng định về vi khuẩn học hoặc mô học",Mã nhánh,A16,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,"Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học",0.0
A17,Lao hệ thần kinh,Mã,A17,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao hệ thần kinh,0.0
A17.0†,Viêm màng não do lao (G01*),Mã nhánh,A17,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao hệ thần kinh,0.0
A17.1†,U lao màng não (G07*),Mã nhánh,A17,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao hệ thần kinh,0.0
A17.8†,Lao khác của hệ thần kinh,Mã nhánh,A17,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao hệ thần kinh,0.0
A17.9†,"Lao hệ thần kinh, không xác định (G99.8*)",Mã nhánh,A17,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao hệ thần kinh,0.0
A18,Lao các cơ quan khác,Mã,A18,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao các cơ quan khác,0.0
A18.0†,Lao xương và khớp,Mã nhánh,A18,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao các cơ quan khác,0.0
A18.1†,Lao hệ tiết niệu sinh dục,Mã nhánh,A18,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao các cơ quan khác,0.0
A18.2,Lao hạch lympho ngoại vi,Mã nhánh,A18,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao các cơ quan khác,0.0
A18.3,"Lao ruột, màng bụng và hạch mạc treo",Mã nhánh,A18,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao các cơ quan khác,0.0
A18.4,Lao da và mô dưới da,Mã nhánh,A18,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao các cơ quan khác,0.0
A18.5,Lao ở mắt,Mã nhánh,A18,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao các cơ quan khác,0.0
A18.6,Lao ở tai,Mã nhánh,A18,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao các cơ quan khác,0.0
A18.7†,Lao tuyến thượng thận (E35.1*),Mã nhánh,A18,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao các cơ quan khác,0.0
A18.8,Lao các cơ quan xác định khác,Mã nhánh,A18,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao các cơ quan khác,0.0
A19,Lao kê,Mã,A19,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao kê,0.0
A19.0,Lao kê cấp của một vị trí xác định,Mã nhánh,A19,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao kê,0.0
A19.1,Lao kê cấp của nhiều vị trí,Mã nhánh,A19,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao kê,0.0
A19.2,"Lao kê cấp, không xác định",Mã nhánh,A19,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao kê,0.0
A19.8,Lao kê khác,Mã nhánh,A19,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao kê,0.0
A19.9,"Lao kê, không xác định",Mã nhánh,A19,Bệnh lao,Bệnh nhiễm trùng và ký sinh trùng,Lao kê,0.0
A20,Dịch hạch,Mã,A20,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Dịch hạch,0.0
A20.0,Dịch hạch thể hạch,Mã nhánh,A20,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Dịch hạch,0.0
A20.1,Dịch hạch thể viêm da mô mềm,Mã nhánh,A20,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Dịch hạch,0.0
A20.2,Dịch hạch thể phổi,Mã nhánh,A20,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Dịch hạch,0.0
A20.3,Dịch hạch thể viêm màng não,Mã nhánh,A20,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Dịch hạch,0.0
A20.7,Dịch hạch thể nhiễm trùng huyết,Mã nhánh,A20,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Dịch hạch,0.0
A20.8,Dịch hạch thể khác,Mã nhánh,A20,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Dịch hạch,0.0
A20.9,Dịch hạch không xác định,Mã nhánh,A20,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Dịch hạch,0.0
A21,Bệnh Tularemia,Mã,A21,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh Tularemia,0.0
A21.0,Loét hạch do tularaemia,Mã nhánh,A21,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh Tularemia,0.0
A21.1,Bệnh tularaemia hạch ở mắt,Mã nhánh,A21,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh Tularemia,0.0
A21.2,Bệnh tularaemia thể phổi,Mã nhánh,A21,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh Tularemia,0.0
A21.3,Bệnh tularaemia thể dạ dày ruột,Mã nhánh,A21,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh Tularemia,0.0
A21.7,Bệnh tularaemia toàn thân,Mã nhánh,A21,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh Tularemia,0.0
A21.8,Bệnh tularaemia thể khác,Mã nhánh,A21,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh Tularemia,0.0
A21.9,"Bệnh tularaemia, không xác định",Mã nhánh,A21,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh Tularemia,0.0
A22,Bệnh than,Mã,A22,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh than,0.0
A22.0,Bệnh than thể da,Mã nhánh,A22,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh than,0.0
A22.1,Bệnh than thể phổi,Mã nhánh,A22,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh than,0.0
A22.2,Bệnh than thể dạ dày ruột,Mã nhánh,A22,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh than,0.0
A22.7,Bệnh than thể nhiễm khuẩn huyết,Mã nhánh,A22,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh than,0.0
A22.8,Bệnh than thể khác,Mã nhánh,A22,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh than,0.0
A22.9,Bệnh than không xác định,Mã nhánh,A22,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh than,0.0
A23,Bệnh do Brucella,Mã,A23,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do Brucella,0.0
A23.0,Bệnh do Brucella melitensis,Mã nhánh,A23,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do Brucella,0.0
A23.1,Bệnh do Brucella abortus,Mã nhánh,A23,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do Brucella,0.0
A23.2,Bệnh do Brucella suis,Mã nhánh,A23,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do Brucella,0.0
A23.3,Bệnh do Brucella canis,Mã nhánh,A23,Bệnh nhiễm khuẩn do động vật truyền sang người,Bệnh nhiễm trùng và ký sinh trùng,Bệnh do Brucella,0.0
